fic,gvkey,datadate,iid,conm
AUS,19731,31/1/06,01W,ORBITAL CORP LTD
,106660,30/11/23,01W,
JPN,19741,31/1/06,01W,SECOM CO LTD
CYM,19744,30/6/20,01W,JD.COM INC
SGP,19774,31/1/06,01W,SEMBCORP INDUSTRIES LTD
GBR,21382,31/3/21,03W,SANTANDER UK PLC
SGP,19799,31/1/06,01W,UOL GROUP LTD
GBR,19824,31/1/06,01W,ANGLOGOLD ASHANTI PLC
JPN,19846,31/1/06,01W,JVCKENWOOD CORP
,19849,31/12/12,01W,
GBR,19904,31/1/06,01W,WHITBREAD PLC
,19927,31/12/13,01W,
JPN,19934,31/1/06,01W,YAMAZAKI BAKING CO LTD
GBR,20067,31/1/06,01W,INTERCONTINENTAL HOTELS GRP
BEL,21408,31/8/20,10W,GROUPE BRUXELLES LAMBERT
,187812,31/8/24,01W,
,131564,30/6/13,01W,
,20088,31/1/12,01W,
,20116,31/12/12,01W,
,20126,31/3/12,01W,
JPN,20145,31/1/06,01W,FURUKAWA ELECTRIC CO LTD
JPN,20161,31/1/06,01W,TAIHEIYO CEMENT CORP
ITA,20196,31/1/06,01W,LUXOTTICA GROUP SPA
,20252,31/1/06,01W,
,20281,31/3/14,01W,
LUX,20291,31/1/06,01W,LAZARD WORLD TRUST FUND SICA
,20417,31/1/06,01W,
AUS,20421,31/1/06,01W,FOSTER'S GROUP LTD
CYM,20530,31/1/16,01W,ALIBABA GROUP HLDG
,20748,31/12/13,01W,
,20791,31/1/06,01W,
,20935,31/12/12,01W,
,21004,31/12/13,01W,
,21019,31/12/13,01W,
HKG,21383,31/1/06,01W,HANG LUNG PROPERTIES LTD
,187961,31/7/11,01W,
ITA,21387,31/1/06,01W,ATTIVITA INVEST PROMOZ IMMOB
LUX,21388,31/1/06,01W,RTL GROUP SA
JPN,21390,31/1/06,01W,KYOTO FINANCIAL GROUP INC
ZAF,21396,31/1/06,01W,ATLAS PROPERTIES LTD
ESP,21403,31/1/06,01W,CORP FINANCIERA ALBA
IRL,21409,31/1/06,01W,FBD HOLDINGS
,27484,30/6/16,01W,
CHE,21416,31/1/06,01W,INTERSHOP HOLDING AG
JPN,21417,31/1/06,01W,JACCS CO LTD
MYS,21443,31/1/06,01W,PAN MALAYSIA CORP BHD
FIN,21447,31/1/06,01W,POHJOLA BANK PLC
NLD,21451,31/1/15,01W,CNOVA NV
MYS,21455,31/1/06,01W,MALAYAN UTD INDS BHD
MYS,21456,31/1/06,01W,MALAYAN CEMENT BHD
ZAF,21467,31/1/06,01W,ZURICH INS CO SOUTH AFRICA
GBR,23709,31/5/20,02W,JADESTONE ENERGY PLC
CHE,21481,31/1/06,01W,VONTOBEL HOLDING AG
,21515,31/12/13,01W,
ISR,21573,31/1/06,01W,ROBOGROUP TEK LTD
,21633,31/12/12,01W,
,21808,31/8/14,01W,
,21815,31/12/12,01W,
,21841,31/12/12,01W,
,21898,31/3/12,01W,
,22047,31/12/13,01W,
,22134,31/12/12,01W,
,22155,31/10/14,01W,
DEU,22333,31/1/06,01W,HAMBORNER REIT AG
JPN,22336,31/1/06,01W,CREDIT SAISON CO LTD
,22387,31/5/20,02W,
GBR,22410,31/12/14,01W,INDIVIOR PLC
JPN,22522,31/1/06,01W,HACHIJUNI BANK
,22583,30/4/13,01W,
,22638,31/12/18,01W,
CHL,22821,31/1/06,01W,TELEFONICA CHILE SA
,22983,31/12/13,01W,
LUX,23025,31/1/06,01W,ESPIRITO SANTO FINANCIAL GRP
,23071,31/12/13,01W,
,23086,31/12/13,01W,
CHE,23087,31/1/06,01W,BALOISE HOLDING AG
JPN,23155,31/1/06,01W,HOCHIKI CORP
ZAF,23200,31/1/06,01W,CAPITAL PROPERTY FUND
GBR,23202,31/1/06,01W,UNBOUND GROUP PLC
GBR,23204,31/1/06,01W,MERCHANTS TRUST PLC
GBR,23206,31/1/06,01W,HENDERSON SMALLER COS INV TR
GBR,23207,31/1/06,01W,WITAN INVESTMENT TRUST PLC
ESP,23210,31/1/06,01W,TESTA INMUEBLES EN RENTA SA
JPN,23215,31/1/06,01W,TOWA REAL ESTATE DEVELOPMENT
,23238,31/12/13,01W,
,23247,31/12/13,01W,
ISR,23290,31/1/06,02W,STRAUSS GROUP LTD
,23432,31/12/13,01W,
JPN,23438,31/1/06,01W,MITSUBISHI UFJ SEC
NZL,23439,31/1/06,01W,CDL INVESTMENTS NEW ZEALAND
CHE,23445,31/1/06,01W,PARGESA HOLDING SA
ZAF,23448,31/1/06,01W,VENFIN LTD
JPN,23451,31/1/06,01W,SOTETSU HOLDINGS INC
FRA,23454,31/1/06,01W,SOFRAGI
AUT,23456,31/1/06,01W,UBM DEVELOPMENT AG
MEX,23483,31/1/06,01W,INTL DE CERAMICA SA DE CV
ISR,23489,31/1/06,01W,LAND DEVELOPMENT OF NIMRODI
FRA,23508,31/1/06,01W,RUBIS
,23546,31/12/16,01W,
,23555,31/12/13,01W,
ITA,23586,31/1/06,01W,CIR-COMPAGNIE INDUSTR
AUT,23595,31/1/06,02W,UNIQA INSURANCE GROUP AG
NLD,23667,31/1/06,01W,KONINKLIJKE AHOLD DELHAIZE
JPN,24571,31/5/08,01W,NANTO BANK
FIN,23671,31/1/06,02W,NOKIA OYJ
AUS,23681,31/1/06,01W,SENEX ENERGY LTD
JPN,23711,31/1/06,01W,THE YAMANASHI CHUO BANK LTD
GBR,23797,31/1/06,01W,DAEJAN HOLDINGS PLC
,23843,31/12/13,01W,
PRT,23848,31/1/06,02W,BANCO COMERCIAL PORTUGUES SA
IRL,23855,31/1/06,01W,GLENCAR MINING PLC
JPN,23900,31/1/06,01W,FUKUOKA FINANCIAL GROUP INC
JPN,23902,31/1/06,01W,CHUGIN FINANCIAL GROUP INC
DNK,23903,31/1/06,01W,CODAN GROUP LTD
FRA,23904,31/1/06,02W,HSBC FRANCE
BEL,23908,31/1/06,01W,IMMOBEL SA
JPN,23909,31/1/06,01W,NISHI-NIPPON FINANCIAL HOLD
GBR,23913,31/1/06,01W,ST JAMES PLACE
NLD,23917,31/1/06,01W,WERELDHAVE NV
,23946,31/1/06,01W,
,23977,31/12/13,01W,
,23990,31/12/13,01W,
AUS,23999,31/1/06,01W,SAMSON OIL & GAS LTD
BMU,24016,31/1/06,03W,CHINESE ESTATES HOLDINGS LTD
FRA,24052,31/1/06,03W,ASSURANCE GEN DE FRANCE
JPN,24055,31/1/06,01W,KEIYO BANK
BEL,24056,31/1/06,01W,SOFINA SA
JPN,24057,31/1/06,01W,TOHO BANK
,24071,31/12/13,01W,
JPN,24207,31/1/06,01W,KYUSHU FINANCIAL GROUP INC
JPN,24208,31/1/06,01W,DAIWA LEASE CO LTD
,24248,31/1/06,01W,
AUS,24286,31/1/06,01W,AXXIS TECHNOLOGY GROUP LTD
ITA,24301,31/1/06,01W,IFIL INVESTMENTS SPA
GBR,24332,31/1/06,01W,F&C INVESTMENT TRUST PLC
,24395,31/1/06,01W,
AUS,24433,31/1/06,01W,ASTUTE METALS NL
ZAF,24446,31/1/06,02W,OCTODEC INVESTMENTS LTD
,24481,30/6/14,01W,
AUS,24512,31/1/06,01W,COMMONWEALTH BANK AUSTRALIA
FRA,24563,31/1/06,02W,CREDIT AGRICOLE SA
ITA,24564,31/1/06,01W,BANCA POPOLARE DI MILANO
FRA,24567,31/1/06,01W,CIC (CREDIT INDUSTRIEL COMM)
JPN,24569,31/1/06,01W,HYAKUJUSHI BANK
JPN,24570,31/1/06,01W,JUROKU FINANCIAL GROUP INC
JPN,24573,31/1/06,01W,YAMAGUCHI FINANCIAL GROUP IN
CHE,24575,31/3/06,02W,SWISSCANTO REAL ESTATE FD
SWE,24578,31/1/06,01W,SWEDBANK AB
ITA,24584,31/1/06,01W,BANCA MONTE DEI PASCHI SIENA
CHE,25648,31/1/06,03W,ROCHE HOLDING AG
,26146,30/4/17,01W,
ITA,24589,31/1/06,01W,SAN PAOLO-IMI SPA
BEL,24596,31/1/06,01W,DEXIA SA
,24601,31/3/13,01W,
FRA,24602,31/1/06,02W,BANQUE FRANC COMM EXT
FRA,24625,31/1/06,02W,TOTALENERGIES SE
AUS,24635,31/1/06,01W,CHEMGENEX PHARMACEUTICALS
MEX,24650,31/1/06,01W,GRUPO CARSO SAB DE CV
MEX,24701,31/1/06,01W,VITRO SAB DE CV
,24707,31/1/06,01W,
VEN,24714,31/1/06,02W,SIVENSA-SIDERURGICA VENEZOLA
,24751,31/1/06,01W,
VEN,24773,31/1/06,01W,CORIMON CA SACA
VEN,24787,31/1/06,03W,CERAMICA CARABOBO SACA
DNK,24826,31/1/06,01W,TOPDANMARK AS
,24905,31/12/13,01W,
ZAF,24946,31/1/06,01W,MOMENTUM GROUP LIMITED
DEU,25022,31/1/06,02W,DBV WINTERTHUR HOLDING AG
ZAF,25052,31/1/06,01W,LIBERTY HOLDINGS
,25096,31/1/06,01W,
MYS,25143,31/1/06,01W,DUTALAND BERHAD
MEX,25160,31/1/06,01W,EMPRESAS ICA SAB DE CV
,25173,31/1/06,01W,
,25212,31/1/06,01W,
MYS,25232,31/1/06,01W,AMMB HOLDINGS BHD
KOR,25249,31/1/06,01W,DAISHIN SECURITIES CO LTD
KOR,25251,31/1/06,01W,NH INVESTMENT & SECURITIES
KOR,25256,31/1/06,01W,MIRAE ASSET SECURITIES CO
KOR,25258,31/1/06,01W,KOREA EXCHANGE BANK
KOR,25259,31/1/06,01W,DGB FINANCIAL GROUP CO LTD
JPN,25264,31/1/06,01W,OKASAN SECURITIES GROUP INC
,25632,31/5/19,01W,
JPN,25265,31/1/06,01W,COSMO SECURITIES CO LTD
BRA,25305,31/1/06,01W,ARACRUZ CELULOSE SA
MEX,25365,31/1/06,04W,GRUPO TMM S.A.B
ISR,25367,31/1/06,02W,MAGIC SOFTWARE ENTERPRISES
GBR,25369,31/1/06,01W,JARDINE LLOYD THOMPSON GROUP
GBR,25371,31/1/06,01W,MUCKLOW (A&J) GROUP PLC
,25424,31/10/15,02W,
NLD,25466,31/12/12,01W,FERRARI NV
,25507,30/6/15,01W,
GBR,25546,31/1/06,03W,PROVALIS PLC
ZAF,25549,31/1/06,02W,MVELAPHANDA RESOURCES LTD
THA,25607,31/1/06,01W,KRUNG THAI BANK PCL
THA,25608,31/1/06,01W,SCB X PCL
THA,25609,31/1/06,01W,BANGKOK BANK PCL
THA,25610,31/1/06,01W,BANK OF AYUDHYA LTD
,26136,31/1/11,01W,
KOR,25714,31/1/06,02W,SHINHAN FINANCIAL GROUP LTD
,25748,31/1/06,01W,
CHL,25753,31/1/06,01W,COMPANIA CERVECERIAS UNIDAS
,25756,31/1/13,01W,
,25757,31/1/06,01W,
,25762,31/1/06,01W,
SGP,25773,31/1/06,01W,CREATIVE TECHNOLOGY LTD
BMU,25791,31/1/06,01W,BRILLIANCE CHINA AUTOMOTIVE
IRL,25850,31/1/06,01W,TRINITY BIOTECH PLC
ITA,25885,31/1/06,01W,CAPITALIA SPA
SWE,25888,31/1/06,01W,OMX AB
BRA,25903,31/1/06,01W,TELEBRAS-TELECOM BRASILEIRAS
,25959,31/1/06,01W,
,26113,31/1/06,01W,
,26114,31/1/06,01W,
FRA,26174,31/7/16,01W,GENSIGHT BIOLOGICS SA
,30076,31/7/23,01W,
,26270,31/12/13,01W,
,26325,31/1/06,01W,
,26332,31/10/15,01W,
,26410,31/12/13,01W,
ARG,26792,31/5/16,01W,GRUPO SUPERVIELLE
,26839,31/12/19,02W,
,26864,30/4/16,02W,
AUS,26877,31/1/06,01W,TBG DIAGNOSTICS LTD
CHL,27141,31/1/16,01W,ENEL CHILE SA
CHL,27142,31/1/16,01W,ENDESA AMERICAS SA
,27227,30/4/16,01W,
,27228,30/4/16,01W,
,27229,30/4/16,01W,
,27230,30/4/16,01W,
,27254,31/5/16,01W,
,27255,31/5/16,01W,
,27256,31/5/16,01W,
,27257,31/5/16,01W,
,27271,31/5/16,01W,
,27272,31/5/16,01W,
,27273,31/5/16,01W,
,27275,31/5/16,01W,
,27310,31/5/16,01W,
,27312,31/5/16,01W,
,27322,31/5/16,01W,
,27325,31/5/16,01W,
,27327,31/5/16,01W,
,27328,31/5/16,01W,
,27329,31/5/16,01W,
,27331,31/5/16,01W,
,27355,31/5/16,01W,
,27357,31/5/16,01W,
,27358,31/5/16,01W,
,27359,31/5/16,01W,
,27360,31/5/16,01W,
,27387,31/12/14,01W,
,27452,30/6/16,01W,
,27453,30/6/16,01W,
,27454,30/6/16,01W,
,27456,30/6/16,01W,
,27457,30/6/16,01W,
,27458,30/6/16,01W,
,33301,29/2/20,01W,
,27459,30/6/16,01W,
,27461,30/6/16,01W,
,27486,30/6/16,01W,
,27487,30/6/16,01W,
,27488,30/6/16,01W,
,27489,30/6/16,01W,
JPN,27490,31/1/16,01W,LINE CORP
,27495,30/6/16,01W,
,27497,30/6/16,01W,
,27498,30/6/16,01W,
,27499,30/6/16,01W,
,27500,30/6/16,01W,
,27501,30/6/16,01W,
,27513,30/6/16,01W,
,27514,30/6/16,01W,
,27515,30/6/16,01W,
,27516,30/6/16,01W,
,27520,30/6/16,01W,
,27521,30/6/16,01W,
,27539,30/6/16,01W,
,27541,30/6/16,01W,
,27542,30/6/16,01W,
,27543,30/6/16,01W,
,27546,30/6/16,01W,
,27547,30/6/16,01W,
,27548,30/6/16,01W,
,27550,30/6/16,01W,
,27551,30/6/16,01W,
,27552,30/6/16,01W,
,27553,30/6/16,01W,
,27554,30/6/16,01W,
,27576,30/9/16,01W,
,27607,30/6/16,01W,
,27608,30/6/16,01W,
,27610,30/6/16,01W,
,27611,30/6/16,01W,
,27612,30/6/16,01W,
,27615,30/6/16,01W,
,27616,30/6/16,01W,
,27617,30/6/16,01W,
,27618,30/6/16,01W,
,27619,30/6/16,01W,
,27620,30/6/16,01W,
,27623,30/6/16,01W,
,27626,30/6/16,01W,
,27627,30/6/16,01W,
,27628,30/6/16,01W,
,27629,30/6/16,01W,
,27638,31/12/14,01W,
,27652,31/12/14,01W,
,27653,30/6/16,01W,
,27665,31/12/14,01W,
,27670,31/12/14,01W,
,27706,31/12/14,01W,
ESP,27831,31/1/06,01W,CARTERA INDUSTRIAL REA SA
THA,27833,31/10/23,01W,KASIKORNBANK PCL
,27841,31/8/16,01W,
,27843,31/1/06,01W,
,27871,31/12/14,01W,
,27875,31/1/06,01W,
,27907,31/12/14,01W,
,27917,31/8/16,01W,
,28012,31/12/15,01W,
,28022,31/1/06,01W,
GBR,28027,31/1/06,01W,AMARIN CORPORATION PLC
,28069,31/12/18,02W,
,28157,31/1/06,01W,
,28217,31/1/06,01W,
ISR,28236,31/1/06,02W,GILAT SATELLITE NETWORKS LTD
GBR,28272,31/1/06,01W,ASTRAZENECA PLC
NOR,28286,31/1/06,01W,PGS ASA
CHL,28334,31/1/06,01W,INVEXANS SA
DNK,28371,31/1/06,01W,OLICOM A/S
CYM,28384,31/12/07,01W,SAPIENS INTERNATIONAL CORP
ISR,28386,31/1/06,01W,EZCHIP SEMICONDUCTOR LTD
DNK,30112,31/1/06,02W,TDC A/S
ARG,28409,31/1/06,01W,BANCO GALICIA BUENOS AIRES
,28420,31/12/14,01W,
CYM,28423,30/9/20,01W,ZTO EXPRESS CAYMAN INC
LUX,28456,31/1/06,02W,SUBSEA 7 SA
,33326,31/12/16,01W,
,33718,31/3/20,01W,
ARG,28520,31/1/06,01W,YACIMIENTOS PETE FISCALES SA
,28528,31/1/06,01W,
MEX,28535,31/1/06,01W,GRUPO SIMEC SA DE CV
MEX,28541,31/1/06,02W,GRUPO RADIO CENTRO SA DE CV
ITA,28569,31/1/06,01W,CREDITO BERGAMASCO SPA
ITA,28570,31/1/06,01W,GABETTI PROPERTY SOLUTIONS
,28632,31/1/06,01W,
CHN,28653,31/1/06,01W,SINOPEC SHANGHAI PETROCHEM
,28670,31/10/16,01W,
GBR,28716,31/1/06,01W,BERKELEY TECHNOLOGY LTD
BMU,28784,31/1/06,01W,EPI (HOLDINGS) LTD
,28786,31/1/06,01W,
VGB,28796,31/12/07,01W,AGILITY CAPITAL HOLDING INC
,28806,31/1/06,01W,
CHE,28838,31/1/06,02W,CREDIT SUISSE GROUP
ESP,28839,31/1/06,01W,MINOR HOTELS EUROPE & AMERIC
MEX,28844,31/1/06,01W,COCA-COLA FEMSA SAB DE CV
,28866,31/1/06,01W,
CHL,28883,31/1/06,01W,SOC QUIMICA Y MINERA DE CHI
MEX,28888,31/1/06,01W,PROMOTORA Y OPERADORA DE
ISR,28923,31/1/06,01W,HILAN LTD
ISR,28984,31/1/06,01W,ALADDIN KNOWLEDGE SYSTEM LTD
CHL,29039,31/1/06,01W,ENEL AMERICAS SA
,29114,31/1/06,01W,
,29155,31/12/14,01W,
,29175,31/1/06,01W,
ARG,29178,31/1/06,01W,TELEFONICA DE ARGENTINA SA
,29191,31/12/15,01W,
VEN,29192,31/1/06,01W,MANTEX SACA
ARG,29194,31/1/06,01W,TELECOM ARGENTINA
ARG,29286,31/1/06,01W,BANCO BBVA ARGENTINA SA
BMU,29290,31/1/06,01W,FRONTLINE LTD-OLD
MEX,29343,31/1/06,01W,GRUPO CASA SABA SAB DE CV
JPN,29379,31/1/06,01W,KAGOSHIMA BANK LTD
MEX,29400,31/1/06,01W,GRUPO MEXICANO DESARROLLO
,29449,31/1/06,01W,
,29524,31/12/14,01W,
CHN,29530,31/1/06,01W,SHANGHAI SHIBEI HI TECH CO
VEN,29532,31/1/06,01W,ELECTRICIDAD DE CARACAS SACA
CHL,29622,31/1/06,01W,CRISTALCHILE-CRISTALER CHILE
NLD,29789,31/1/06,01W,ARCADIS NV
ARG,29792,31/1/06,01W,CARBOCLOR SA
MEX,29850,31/1/06,01W,GRUPO TELEVISA SAB
,29916,31/1/06,01W,
,30004,31/12/14,01W,
LUX,30024,31/1/06,01W,MILLICOM INTL CELLULAR SA
ISR,30030,31/1/06,01W,SILICOM LTD
,30145,31/12/15,01W,
,30194,31/1/06,01W,
CHL,30218,31/1/06,02W,BANCO SANTANDER-CHILE
PHL,30282,31/1/06,01W,MANILA ELECTRIC CO
,30284,31/12/16,01W,
,30326,31/1/06,01W,
MEX,30331,31/1/06,04W,GRUPO IUSACELL SA
MYS,30347,31/1/06,01W,RASHID HUSSAIN BHD
AUT,30390,31/1/06,02W,CA IMMOBILIEN ANLAGEN AG
,30397,31/12/15,01W,
CHL,30436,31/1/06,02W,EMBOTELLADORA ANDINA SA
BRA,30452,31/1/06,01W,BRADESCO BANCO
MEX,30462,31/1/06,01W,KUO SAB DE CV
,33435,31/12/16,01W,
MEX,30466,31/1/06,01W,BIO PAPPEL SAB DE CV DE
CHL,30471,31/1/06,01W,AES ANDES SA
JOR,30583,31/10/23,01W,ARAB BANKING CORP
JPN,30483,31/1/06,01W,DAISHI HOKUETSU FINANCIAL
JPN,30484,31/1/06,01W,IYOGIN HOLDINGS INC
JPN,30486,31/1/06,01W,OGAKI KYORITSU BANK
JPN,30487,31/1/06,01W,SHIGA BANK LTD
JPN,30488,31/1/06,01W,TOKAI TOKYO FINL HLDGS INC
JPN,30489,31/1/06,01W,TOYO SECURITIES CO LTD
KOR,30501,31/1/06,01W,KB FINANCIAL GROUP
GBR,30505,31/1/06,01W,HBOS PLC
JPN,30508,31/1/06,01W,KIYO BANK LTD
JPN,30509,31/1/06,01W,THE SAN IN GODO BANK LTD
JPN,30510,31/1/06,01W,HOKKOKU FINANCIAL HOLDINGS
COL,30514,31/1/06,01W,CARULLA VIVERO SA
GBR,30515,31/1/06,01W,NATIONWIDE BUILDING SOCIETY
GBR,30516,31/1/06,01W,ALLIANCE & LEICESTER PLC
IDN,30531,31/1/06,02W,CHANDRA ASRI PETROCHEMICAL
CHL,30538,31/1/06,01W,ENEL GENERACION CHILE SA
DEU,30544,31/1/06,03W,LANDESBANK BERLIN HOLDING AG
CHE,30552,31/1/06,01W,HYPOTHEKARBANK LENZBURG
,30560,31/3/14,01W,
ISR,30579,31/1/06,02W,BANK HAPOALIM B M
BRA,30580,31/1/06,01W,ITAU UNIBANCO HLDG SA
BRA,30581,31/1/06,01W,BANCO DO BRASIL
GRC,30582,31/1/06,01W,NATIONAL BANK OF GREECE
PER,30679,31/1/06,02W,SCOTIABANK PERU SA
FRA,30688,31/1/06,01W,BUSINESS OBJECTS SA
RUS,30725,31/1/06,02W,POLYUS PJSC
,33652,31/3/18,01W,
CHN,30747,31/1/06,01W,HUANENG POWER INTERNATIONAL
BMU,30778,31/1/06,01W,CENTRAL EUROPEAN MEDIA
CHL,30788,31/1/06,01W,TELMEX CORP SA
VEN,30802,31/1/06,02W,DOMINGUEZ Y CIA CARACAS
BRA,30806,31/1/06,01W,FIBRIA CELULOSE SA
FRA,30807,31/1/06,02W,LAFARGE SA
,30818,31/1/06,01W,
IDN,30821,31/1/06,02W,PT INDOSAT OOREDOO HUTCHISON
,30824,31/1/06,01W,
ARG,30838,31/1/06,01W,TRANSPORTADORA DE GAS DEL SU
KOR,30874,31/1/06,01W,KEPCO-KOREA ELEC POWER CORP
GBR,30923,31/1/06,01W,TECHNIPFMC PLC
CHL,30986,31/1/06,01W,ADMINISTRADORA DE FONDOS DE
ARG,31010,31/1/06,01W,METROGAS SA
,31056,31/12/15,01W,
JPN,31070,31/1/06,01W,YAMAGATA BANK LTD
JPN,31072,31/1/06,02W,KYUSHU-SHINWA HOLDINGS INC
JPN,31073,31/1/06,01W,OITA BANK LTD
JPN,31075,31/1/06,01W,MIYAZAKI BANK LTD
JPN,31076,31/1/06,01W,MICHINOKU BANK LTD
JPN,31077,31/1/06,01W,TSUKUBA BANK LTD
JPN,31078,31/1/06,01W,TOMONY HOLDINGS INC
JPN,31079,31/1/06,01W,BANK OF IKEDA
JPN,31080,31/1/06,01W,BANK OF IWATE
,33684,31/12/16,01W,
JPN,31082,31/1/06,01W,DAISAN BANK LTD
JPN,31083,31/1/06,01W,CHUKYO BANK
JPN,31084,31/1/06,01W,AOMORI BANK LTD
JPN,31085,31/1/06,01W,BANK OF THE RYUKYUS
JPN,31086,31/1/06,01W,MINATO BANK LTD
JPN,31087,31/1/06,02W,NORTH PACIFIC BANK LTD
JPN,31088,31/1/06,01W,KITA-NIPPON BANK LTD
JPN,31089,31/1/06,01W,HIGASHI-NIPPON BANK LTD
,31109,31/12/15,01W,
GBR,31137,31/1/06,01W,SKY PLC
NLD,31142,31/1/06,01W,STMICROELECTRONICS NV
TWN,31160,31/1/06,01W,FIRST FINANCIAL HOLDING CO
THA,31161,31/1/06,01W,TMBTHANACHART BANK PUBLIC CO
MEX,31205,31/1/06,02W,FOMENTO ECONOMICO MEXICANO
MEX,31207,31/1/06,02W,GCC S A B DE C V
,31251,31/12/15,01W,
,31252,31/5/17,02W,
ISR,31255,31/1/06,01W,TOWER SEMICONDUCTOR LTD
,31421,31/12/15,01W,
IND,31425,31/1/06,01W,INDIAN PETROCHEMICALS CORP
GBR,31450,31/1/06,01W,AERTE GROUP PLC
,31515,31/1/06,01W,
FRA,31609,31/1/06,01W,EURO RESSOURCES SA
PER,31646,31/1/06,01W,BANCO DE CREDITO DEL PERU
PRT,31647,31/1/06,01W,BANCO ESPIRITO SANTO SA
HKG,31648,31/1/06,01W,BOC HONG KONG HOLDINGS LTD
TWN,31649,31/1/06,01W,CHANG HWA COMMERCIAL BANK
TWN,31654,31/1/06,01W,HUA NAN FINANCIAL HOLDING CO
FRA,31658,31/1/06,01W,UNION FINANCIERE FRANCE BQE
,31661,31/1/06,01W,
ARG,31717,31/1/06,01W,IRSA INVERSIONES Y REPRESENT
,31774,31/12/15,01W,
,31796,31/12/15,01W,
ISR,31820,28/2/21,01W,C-LAB LTD
CHN,31831,31/1/06,01W,JILIN CHEMICAL INDUSTRIAL CO
,31855,31/1/06,01W,
PRT,31882,31/1/06,01W,PHAROL SGPS SA
,31954,30/6/19,05W,
,31958,31/12/15,01W,
,32154,31/12/15,01W,
,32348,31/12/16,01W,
,32372,31/12/15,01W,
,32530,31/12/15,01W,
,32541,31/12/15,01W,
,32564,31/12/16,01W,
,32574,31/12/15,01W,
,32580,31/10/17,01W,
,32670,31/10/17,01W,
,32809,31/12/16,01W,
GBR,32886,31/1/06,01W,GATES INDUSTRIAL CORP PLC
,32938,31/12/15,01W,
,33133,31/12/16,01W,
,33152,31/12/16,01W,
,33243,31/12/16,01W,
AUS,33805,28/2/17,01W,SPORTSHERO LIMITED
,33809,31/12/16,01W,
,33829,31/8/18,01W,
,33830,31/8/18,01W,
,33831,31/8/18,01W,
,33832,31/8/18,01W,
,33833,31/8/18,01W,
,33834,31/8/18,01W,
,33835,31/8/18,01W,
,33836,31/8/18,01W,
,33837,31/8/18,01W,
,33838,31/8/18,01W,
,33839,31/8/18,01W,
,33840,31/8/18,01W,
,33841,31/8/18,01W,
,33842,31/8/18,01W,
,33843,31/8/18,01W,
,33844,31/8/18,01W,
,33867,31/7/18,01W,
,33870,31/8/18,01W,
,33871,31/7/18,01W,
,33872,31/7/18,01W,
,33873,31/7/18,01W,
,33874,31/7/18,01W,
,33875,31/7/18,01W,
,33876,31/7/18,01W,
,33887,31/7/18,01W,
,33888,31/7/18,01W,
,33889,31/7/18,01W,
,33890,31/7/18,01W,
,33891,31/7/18,01W,
,33892,31/7/18,01W,
,33893,31/7/18,01W,
,33894,31/7/18,01W,
,33917,31/7/18,01W,
,33918,31/7/18,01W,
,33919,31/7/18,01W,
,33920,31/7/18,01W,
,33921,31/7/18,01W,
,33922,31/7/18,01W,
,33923,31/7/18,01W,
,33924,31/7/18,01W,
,33925,31/7/18,01W,
,33926,31/7/18,01W,
,33927,31/7/18,01W,
,33928,31/7/18,01W,
,33936,31/7/18,01W,
,33937,31/7/18,01W,
,33938,31/7/18,01W,
,33939,31/7/18,01W,
,33951,31/12/16,01W,
,34010,31/8/18,01W,
JEY,34048,31/12/16,01W,RIO TINTO LITHIUM
,34053,31/12/16,01W,
,34300,31/12/17,01W,
,34337,31/12/16,01W,
,34410,31/12/16,01W,
,34443,31/12/16,01W,
,34854,31/12/17,01W,
CHE,35056,31/1/16,01W,ALCON INC
,35062,31/12/17,01W,
,35065,31/12/17,01W,
,35077,31/12/17,01W,
,35158,31/12/17,01W,
,35168,31/12/17,01W,
,35182,31/1/17,01W,
,35287,31/1/17,01W,
CYM,35331,30/4/20,01W,AMTD IDEA GROUP
,35447,31/3/17,01W,
,35497,31/12/17,01W,
,35543,31/7/19,01W,
,35609,31/12/17,01W,
,35612,31/12/18,01W,
,35614,30/9/17,01W,
,35638,31/12/17,01W,
,35684,31/3/22,04W,
,35708,31/12/18,01W,
,35794,31/12/17,01W,
,35852,31/12/18,01W,
,35868,30/6/18,01W,
,35957,31/12/19,01W,
,35978,31/12/17,01W,
,36051,31/12/17,01W,
,36190,31/12/18,01W,
,36191,31/12/18,01W,
,36203,31/12/19,01W,
,36236,31/12/18,01W,
,36293,31/3/20,01W,
,36494,31/12/18,01W,
,36679,31/12/18,01W,
,36691,31/7/20,01W,
,36737,31/7/20,01W,
,36847,31/12/18,01W,
BRA,36902,30/6/24,01W,VITRU BRASIL EMPREENDIMENTOS
,36910,31/12/18,01W,
,36995,31/12/18,01W,
,37054,31/1/18,01W,
,37090,31/12/18,01W,
CYM,37126,31/3/21,01W,AVANTI ACQUISITION CORP
,37130,31/12/18,01W,
,37284,30/9/18,01W,
,37309,31/3/18,01W,
,37338,31/12/18,01W,
,37382,30/11/18,01W,
,37407,31/12/19,01W,
,37414,31/12/18,01W,
,37445,31/12/18,01W,
,37460,31/12/18,01W,
,37489,31/12/19,01W,
CYM,37669,31/12/18,01W,PERFECT CORP
,37775,31/12/19,01W,
,37793,31/12/18,01W,
,37851,31/1/21,01W,
,38038,31/12/19,01W,
,38125,31/12/19,01W,
BRA,38181,31/3/21,01W,SENDAS DISTRIBUIDORA S.A.
