year,month,port_1,port_2,port_3,port_4,port_5,port_6,port_7,port_8,port_9,port_10,port_ls,mkt_rf,mkt_total
2015,1,-0.0771461734197731,-0.030079784789644015,-0.03435688996763754,-0.036318254457050246,-0.03430357928802589,-0.027444105177993526,-0.026642024311183145,-0.0336399142394822,-0.02664631067961165,-0.024372405186385736,0.052773768233387364,-0.031040847,-0.031040847
2015,2,0.08142909238249596,0.07117685089141004,0.07521769692058347,0.05928311183144246,0.06066501782820097,0.05107939644012945,0.051194515397082654,0.052860559157212314,0.05946944408427877,0.07253119448946516,-0.008897897893030804,0.0548925057,0.0548925057
2015,3,-0.052171611650485436,-0.02547496278317152,-0.01327005987055016,-0.004308457928802589,-0.004796325242718447,0.0035334174757281553,0.0019374514563106798,0.0021877718446601945,0.005890417475728155,0.009698291262135922,0.06186990291262136,-0.017396056,-0.017396056
2015,4,0.0882745435483871,0.04767998387096774,0.03188708225806452,0.02596829516129032,0.021825279032258064,0.02032222383252818,0.018594404838709677,0.01250475,0.011964154838709678,0.04537228064516129,-0.0429022629032258,0.0085207627,0.0085207627
2015,5,-0.02626081451612903,-0.007860562903225808,-0.0028027387096774188,-0.0028627419354838703,0.0063057967741935485,0.011722699999999999,0.008691520967741935,0.011554759677419355,0.01236216935483871,-0.003778977419354839,0.02248183709677419,0.0104914385,0.0104914385
2015,6,-0.03822110339256866,-0.016387940322580643,-0.012567091935483872,-0.0027458580645161297,-0.004385608064516129,0.0031684274193548383,-0.006680495161290322,-0.014803806451612903,-0.010642146774193548,-0.01134693870967742,0.026874164682891236,-0.021011773,-0.021011773
2015,7,-0.09618342649434572,-0.05739179999999999,-0.047934381260096935,-0.03427450967741935,-0.013236589660743134,-0.027409125806451613,-0.022146062903225804,-0.021368042003231016,-0.014150861290322581,-0.04762151857835218,0.04856190791599354,0.0197420399,0.0197420399
2015,8,-0.0552917154340836,-0.05222033118971061,-0.05394387319422151,-0.0496490884244373,-0.05703931189710611,-0.06381028731942215,-0.05091723311897106,-0.05952968057784911,-0.04907921221864952,-0.052554763665594854,0.0027369517684887462,-0.062580805,-0.062580805
2015,9,-0.08174669131832799,-0.05127918298555377,-0.054744056270096465,-0.045587820224719106,-0.038118213826366557,-0.04046392295345104,-0.053523858747993584,-0.05125896463022508,-0.042887139646869986,-0.03804407877813505,0.043702612540192934,-0.02644282,-0.02644282
2015,10,0.06206037419354839,0.05811773913043478,0.06207847020933978,0.057014164251207734,0.06729760483870967,0.0513350692431562,0.06464224959742351,0.06291787439613528,0.06340490982286634,0.08241389677419354,0.020353522580645156,0.0829830784,0.0829830784
2015,11,-0.02853150080515298,-0.022634270096463023,-0.0073469758842443725,-0.005959766881028939,0.0011282315112540195,0.010723699356913183,0.012427339228295819,0.009554569131832797,0.01557493729903537,-0.009024538585209001,0.01950696221994398,0.0005049631,0.0005049631
2015,12,-0.055084172302737516,-0.061322844051446945,-0.05215894372990354,-0.04138328663446055,-0.03370922990353698,-0.03860939389067524,-0.02899969887278583,-0.029058993569131834,-0.03509597909967846,-0.025790962962962963,0.029293209339774553,-0.017630198,-0.017530198
2016,1,-0.10973291437802907,-0.09632179193548386,-0.09196052096774193,-0.07963822096774194,-0.07601126290322581,-0.0809893806451613,-0.06902470967741935,-0.06835315161290323,-0.07338035483870968,-0.06714538548387097,0.042587528894158094,-0.050835344000000005,-0.050735344
2016,2,0.020229410048622366,0.03848768284789644,0.0438388284789644,0.019108186084142394,0.015521223300970872,0.021975935275080904,0.009560841423948219,0.0133049644012945,0.01554838349514563,0.06453358737864077,0.04430417733001841,-0.004328355,-0.004128355
2016,3,0.14121149918962722,0.09738972933549433,0.08853664343598054,0.09884404854368932,0.07307509562398704,0.07918405186385738,0.08165621844660194,0.07641945056726095,0.07759990275526742,0.1191010145867099,-0.022110484602917327,0.06579110869999999,0.0659911087
2016,4,0.1327313268292683,0.08386520162601625,0.07219092857142857,0.0472836,0.045581282467532465,0.03224109593495935,0.04042465909090909,0.029719643902439027,0.02604170616883117,0.07328467154471545,-0.059446655284552855,0.0025993698,0.0026993698
2016,5,-0.05039998694942904,-0.010566557003257327,0.003852268729641694,8.581566068515455e-05,-0.003804447882736156,0.00371278664495114,0.009455092985318108,0.015549752442996743,0.01038064657980456,0.0060315334420880905,0.05643152039151714,0.0152294921,0.0153294921
2016,6,0.019864044045677,0.0058262969004893965,-0.0010255700325732895,-0.012713066884176184,-0.0036115024469820563,-0.00858792019543974,-0.007208396411092987,0.0019322915309446245,-0.00548110929853181,0.007093632952691681,-0.01277041109298532,0.0007060736,0.0009060736
2016,7,0.05433578921568628,0.06325043556280588,0.05114043230016313,0.0517010816993464,0.050711786296900485,0.04466282544861338,0.07277230882352942,0.05666361174551387,0.06026382218597064,0.0802225702614379,0.02588678104575163,0.035409807200000004,0.0356098072
2016,8,0.01927483849918434,0.018011169381107493,0.025089991856677527,0.006755688925081433,0.005562681892332789,0.011052107491856677,0.020870241042345278,0.01258471335504886,0.010206591205211727,0.03249937846655791,0.013224539967373574,-0.001419176,-0.001219176
2016,9,0.015383512274959084,0.02497276759410802,0.018444458265139116,0.01627355155482815,0.01454162193126023,0.017787833060556466,0.02407976595744681,0.01567923404255319,0.023107000000000003,0.03307081669394435,0.017687304418985264,-0.001434483,-0.001234483
2016,10,-0.06971423190789475,-0.04722297039473684,-0.03628246710526316,-0.03715553201970443,-0.029714082236842104,-0.04038507236842106,-0.05311903119868638,-0.03702853782894737,-0.036114243421052634,-0.029226934210526315,0.04048729769736843,-0.019625624999999997,-0.019425625
