strategy,mean_monthly,annual_return,volatility,sharpe,cumulative,max_1m_loss,max_1m_gain,win_rate,skewness,max_drawdown,mkt_annual_return,outperformance,win_vs_market,correlation,alpha_monthly,alpha_annual,beta,long_annual_return,short_annual_return,n_periods,n_years
Baseline (Predictions Only),0.019893816134458057,0.2387257936134967,0.129596612315832,1.842068163261186,9.007399223498206,-0.059446655284552855,0.140087341503268,0.6942148760330579,0.3689807734947474,-0.1508684736306174,0.11885430757685952,0.11987148603663716,0.5619834710743802,-0.08036876590446076,0.01904847834173857,0.22858174010086282,-0.0669823212583226,0.1656562642818088,-0.07306952933168787,121,11
Combined (Pred + Sentiment),0.020815500206997895,0.24978600248397476,0.11995269056931354,2.082370985581505,10.293418222747102,-0.048224155922038985,0.1353535867346939,0.7107438016528925,0.3707929432305337,-0.12425435613465882,0.11885430757685952,0.13093169490711523,0.5537190082644629,-0.052621106460246675,0.01973855646319307,0.23686267755831686,-0.03970399789129847,0.17593864480207055,-0.0738473576819042,121,11
