gvkey,datadate,iid,tic,cusip,conm,tpci,cik
001331,31/1/05,01,APNI,020825600,ALPINE GROUP INC,0,0000004164
001332,31/1/05,01,3ASUPE,04517Q100,ASIA SUPERNET CORP,0,0000004165
001334,31/1/05,01,NQLIQ,629369109,NQL INC,0,0001122965
001341,31/1/05,02,ATCD,021367206,ALTAIR CORP-DEL,0,0000004206
001356,31/1/05,01,AA.3,013817507,ALCOA INC,0,
001360,31/1/05,01,SNTO,816918205,SENTO CORP,0,0000004317
001363,31/1/05,01,BSWY,086584307,BESTWAY INC,0,0000004344
001372,31/1/05,01,AICOQ,023395106,AMCAST INDUSTRIAL CORP,0,0000027425
001378,31/1/05,01,AMLC,023438104,AMELCO CORP,0,0000004438
001380,31/1/05,01,HES,42809H107,HESS CORP,0,0000004447
001382,31/1/05,01,LCC,90341W108,US AIRWAYS GROUP INC,0,0000701345
001393,31/1/05,01,UHAL,023586100,U-HAUL HOLDING CO,0,0000004457
001397,31/1/05,01,ABLT,024591406,AMERICAN BILTRITE INC,0,0000004611
001408,31/1/05,01,BEAM.2,073730103,BEAM INC,0,0000789073
001410,31/1/05,01,ABM,000957100,ABM INDUSTRIES INC,0,0000771497
001417,31/1/05,01,VBF,46132L107,INVESCO BOND FUND,7,0000005094
001418,31/1/05,01,TFHIZ,89365P106,TRANSFINANCIAL HOLDINGS INC,0,0000719271
001431,31/1/05,01,3ACYGE,025328105,AMERICAN CYTOGENETICS,0,0000004833
001435,31/1/05,01,AMRL,024022105,AMERICAN ATLANTIC CO,0,0000201076
001439,31/1/05,01,ECOL,91734M103,US ECOLOGY INC,0,0001783400
001440,31/1/05,01,AEP,025537101,AMERICAN ELECTRIC POWER CO,0,0000004904
001441,31/1/05,01,MNSF,56418U101,MANSFELDER METALS LTD,0,0000352281
001444,31/1/05,01,AVCS,03037B106,AMERICAN VANTAGE COMPANIES,0,0000315428
001447,31/1/05,01,AXP,025816109,AMERICAN EXPRESS CO,0,0000004962
001449,31/1/05,01,AFL,001055102,AFLAC INC,0,0000004977
001468,31/1/05,01,AM.1,026375105,AMERICAN GREETINGS  -CL A,0,0000005133
001478,31/1/05,01,WYE,983024100,WYETH,0,0000005187
001487,31/1/05,01,AIG,026874784,AMERICAN INTERNATIONAL GROUP,0,0000005272
001491,31/1/05,01,HAIPF,M52514102,INFINYA LTD,0,0000005337
001496,31/1/05,01,ALGI,027284108,AMERICAN LOCKER GROUP INC,0,0000008855
001511,31/1/05,01,TEEE.,38168R108,GOLF ROUNDS.COM INC,0,
001518,31/1/05,01,HIST,363812108,GALLERY OF HISTORY INC,0,0000763730
001523,31/1/05,01,AMAC,027904101,AMERICAN MEDICAL ALERT CORP,0,0000700721
001526,31/1/05,01,ANAT,02772A109,AMERICAN NATIONAL GROUP-OLD,0,0001801075
001533,31/1/05,01,APFC,028740108,AMERICAN PACIFIC CORP,0,0000350832
001538,31/1/05,01,3APHEE,028870103,AMERICAN PHONEMETER  -CL A,0,
001539,31/1/05,01,AMPH.1,028882108,AMERICAN PHYSICIANS SVC GP,0,0000724024
001545,31/1/05,03,ARL,029174109,AMERICAN REALTY INVESTORS,0,0001102238
001554,31/1/05,01,ASEI,029429107,AMERICAN SCIENCE ENGINEERING,0,0000005768
001559,31/1/05,01,AMS,029595105,AMERICAN SHARED HSPTL SERV,0,0000744825
001562,31/1/05,01,LGTY,029683109,LOGILITY SPPLY CHAIN SOL INC,0,0000713425
001567,31/1/05,02,TT.2,892893108,TRANE INC,0,0000836102
001577,31/1/05,01,AMK.2,030137103,AMERICAN TECHNICAL CERAMICS,0,0000766430
001581,31/1/05,01,T.2,001957505,AT&T CORP,0,0000005907
001583,31/1/05,01,3ATLN,030188106,AMERICAN TELNET CORP,0,0000314306
001585,31/1/05,01,AVD,030371108,AMERICAN VANGUARD CORP,0,0000005981
001593,31/1/05,01,AMN.2,030710107,AMERON INTERNATIONAL CORP,0,0000790730
001594,31/1/05,01,AMESQ,030789507,AMES DEPT STORES INC,0,0000006071
001598,31/1/05,01,AME,031100100,AMETEK INC,0,0001037868
001602,31/1/05,01,AMGN,031162100,AMGEN INC,0,0000318154
001606,31/1/05,01,AMTA,031535107,AMISTAR CORP,0,0000741559
001611,31/1/05,01,AMPLQ,032015703,AMPAL-AMERICAN ISRAEL CORP,0,0000731859
001613,31/1/05,01,AP,032037103,AMPCO-PITTSBURGH CORP,0,0000006176
001618,31/1/05,01,AXR,032159105,AMREP CORP,0,0000006207
001619,31/1/05,01,ASO.1,032165102,AMSOUTH BANCORPORATION,0,0000003133
001624,31/1/05,01,ARII.1,032331100,AMTECH RESOURCES INC,0,0000106106
001627,31/1/05,02,ANCPA,03237E108,ANACOMP INC,0,0000006260
001632,31/1/05,01,ADI,032654105,ANALOG DEVICES INC,0,0000006281
001633,31/1/05,01,ALOG,032657207,ANALOGIC CORP,0,0000006284
001634,31/1/05,01,ANLY,032681207,ANALYSTS INTERNATIONAL CORP,0,0000006292
001635,31/1/05,01,ANEN,032744104,ANAREN INC,0,0000006314
001641,31/1/05,01,MOCC,61945R100,MOSCOW CABLECOM CORP,0,0000006383
001642,31/1/05,01,CRAN,228190104,CROWN ANDERSEN INC,0,0000778808
001650,31/1/05,01,ANDR,034393108,ANDREA ELECTRONICS CORP,0,0000006494
001651,31/1/05,01,ANDW,034425108,ANDREW CORP,0,0000317093
001654,31/1/05,01,ANGC,034624403,ANGELES CORP,0,0000316315
001655,31/1/05,01,AGL.1,034663104,ANGELICA CORP,0,0000006571
001656,31/1/05,02,IQUN,46264Y109,IQUNIVERSE INC,0,0000716399
001659,31/1/05,01,ANDE,034164103,ANDERSONS INC,0,0000821026
001661,31/1/05,01,NBR,G6359F137,NABORS INDUSTRIES LTD,0,0001163739
001662,31/1/05,01,AGTT,035203108,ANGSTROM TECHNOLOGIES INC,0,0000725774
001663,31/1/05,01,BUD.2,035229103,ANHEUSER-BUSCH COS INC,0,0000310569
001669,31/1/05,01,BIW,05547U102,BIW LTD,0,0001169237
001677,31/1/05,01,KTO,482732104,K2 INC,0,0000006720
001678,31/1/05,01,APA,03743Q108,APA CORP,0,0001841666
001679,31/1/05,02,3AENME,037460201,APACHE ENERGY&MINERALS,0,0000315645
001681,31/1/05,01,ASOE,037637105,APOLLO SOLAR ENERGY INC,0,0000726435
001682,31/1/05,01,APAGF,G0471F109,APCO OIL AND GAS INTL INC,0,0000311471
001686,31/1/05,01,APOG,037598109,APOGEE ENTERPRISES INC,0,0000006845
001690,31/1/05,01,AAPL,037833100,APPLE INC,0,0000320193
001704,31/1/05,01,AMAT,038222105,APPLIED MATERIALS INC,0,0000006951
001705,31/1/05,01,SSHZ,82935Q100,SINO SHIPPING HOLDINGS INC,0,0000312258
001706,31/1/05,01,EPAC,292765104,ENERPAC TOOL GROUP CORP,0,0000006955
001712,31/1/05,01,TREC,894648104,TRECORA RESOURCES,0,0000007039
001713,31/1/05,01,3ARAC,038492104,ARACCA PETROLEUM CORP,0,0000317173
001715,31/1/05,01C,ABO.B,038916201,ARBOR MEMORIAL SERVICES INC,0,
001717,31/1/05,01,4309B,038903100,AQUACULTURE PRODUCTION TECH,0,
001718,31/1/05,01,AOXY,00754B301,ADVANCED OXYGEN TECHNOLOGY,0,0000352991
001722,31/1/05,01,ADM,039483102,ARCHER-DANIELS-MIDLAND CO,0,0000007084
001728,31/1/05,01,ARDNA,039762109,ARDEN GROUP INC  -CL A,0,0000225051
001743,31/1/05,02,ARCB,03937C105,ARCBEST CORP,0,0000894405
001745,31/1/05,15,EHB,29364D795,ENTERGY ARKANSAS,R,0000007323
001749,31/1/05,01,ARRD,041327107,ARLEN CORP,0,0000007346
001762,31/1/05,01,3ACKH,042384107,ARMSTRONG HOLDINGS INC,0,0001109304
001772,31/1/05,01,AIRW.,042727107,ARROW AUTOMOTIVE INDUSTRIES,0,0000007533
001773,31/1/05,01,ARW,042735100,ARROW ELECTRONICS INC,0,0000007536
001781,31/1/05,01,ETAD,29382L100,ENTRADE INC,0,0000897265
001783,31/1/05,01,ARTW,043168103,ARTS WAY MFG INC,0,0000007623
001790,31/1/05,01C,AB.,043420108,ASBESTOS CORP LTD,0,
001794,31/1/05,01,ASH,044186104,ASHLAND INC,0,0001674862
001797,31/1/05,01,ASPN.1,04599Y930,ASPEN EXPLORATION CORP -OLD,0,
001814,31/1/05,01,ASTO,046376109,ASTRO COMMUNICATIONS INC,0,0000351385
001819,31/1/05,01,NWXJ,65056Q108,ASTREX INC,0,0000008038
001820,31/1/05,01,ALOT,04638F108,ASTRONOVA INC,0,0000008146
001822,31/1/05,01,ATCCQ,046390100,ASTROCOM CORP,0,0000215155
001823,31/1/05,01,ATRO,046433108,ASTRONICS CORP,0,0000008063
001828,31/1/05,01C,ACO.X,046789400,ATCO LTD  -CL I,0,0001261317
001831,31/1/05,03,ASFZ,046008207,ASSOCIATES FIRST CAP -CL A,1,0000007974
001835,31/1/05,01,ATKQ,047620109,ATKINSON (G F) CO/CA,0,0000008137
001837,31/1/05,01,GAS,001204106,SOUTHERN CO GAS,0,0001004155
001856,31/1/05,01,ATMR.1,049371107,ATLAS MINERALS INC,0,0000008302
001860,31/1/05,01,ATW,050095108,ATWOOD OCEANICS,0,0000008411
001864,31/1/05,01,REX,761624105,REX AMERICAN RESOURCES CORP,0,0000744187
001866,31/1/05,01,AULT.,051503100,AULT INC,0,0000723639
001868,31/1/05,01,ASAM,04621M300,ASSURANCEAMERICA CORP,0,0000008497
001874,31/1/05,01,AIFS,00847D108,AGENT INFORMATION SOFTWR INC,0,0000008598
001878,31/1/05,01,ADSK,052769106,AUTODESK INC,0,0000769397
001884,31/1/05,01,DCAI,252529102,DIALYSIS CORP OF AMERICA,0,0000201653
001891,31/1/05,01,ADP,053015103,AUTOMATIC DATA PROCESSING,0,0000008670
001895,31/1/05,01,ABDR,022909204,AMBASSADOR FOOD SVCS CORP,0,0000008734
001902,31/1/05,01,DSIIQ,24734R103,DELSITE INC,0,0000718007
001906,31/1/05,01,AVHI.1,00234P102,A V HOMES INC,0,0000039677
001913,31/1/05,01,AVY,053611109,AVERY DENNISON CORP,0,0000008818
001914,31/1/05,01,AVL.1,05366B102,AVIALL INC,0,0000701650
001919,31/1/05,01,AVT,053807103,AVNET INC,0,0000008858
001920,31/1/05,01,AVP,054303102,AVON PRODUCTS,0,0000008868
001926,31/1/05,01,AZZ,002474104,AZZ INC,0,0000008947
001932,31/1/05,90,BTI,110448107,BRITISH AMER TOBACCO PLC,F,0001303523
001943,31/1/05,01,BMMI,055607105,BMC INDUSTRIES INC,0,0000215310
001945,31/1/05,91,BOX.1,055617609,BOC GROUP PLC,F,0000715095
001949,31/1/05,01,BRT,055645303,BRT APARTMENTS CORP,0,0000014846
001950,31/1/05,01,3BSDBE,055655104,BSD BANCORP INC,0,0000319498
001951,31/1/05,01,PRSNQ,055665103,BSD MEDICAL CORP,0,0000320174
001953,31/1/05,01,CPLXQ,156913501,CERPLEX GROUP INC,0,0000319237
001968,31/1/05,01,BMI,056525108,BADGER METER INC,0,0000009092
001969,31/1/05,01,BPMI,056543101,BADGER PAPER MILLS INC,0,0000009096
001971,31/1/05,01,BZ.2,057097107,BAIRNCO CORP,0,0000350750
001973,31/1/05,01,CAEJ,169364106,BAKER COMMUNICATIONS INC,0,0000726656
001974,31/1/05,01,BKR.1,057149106,BAKER (MICHAEL) CORP,0,0000009263
001976,31/1/05,01,BHI,057224107,BAKER HUGHES INC,0,0000808362
001977,31/1/05,01,BLCY,057609109,BALA CYNWYD CORP,0,0000052813
001979,31/1/05,01,BCPC,057665200,BALCHEM CORP  -CL B,0,0000009326
001981,31/1/05,01,BEZ,057741100,BALDOR ELECTRIC CO,0,0000009342
001982,31/1/05,01,PTVCA,74368L104,PROTECTIVE INSURANCE CORP,0,0000009346
001988,31/1/05,01,BALL,058498106,BALL CORP,0,0000009389
001995,31/1/05,01,CEG.1,210371100,CONSTELLATION ENERGY GRP INC,0,0001004440
002002,31/1/05,01,BPOP,733174700,POPULAR INC,0,0000763901
002005,31/1/05,01,BOH,062540109,BANK OF HAWAII CORP,0,0000046195
002008,31/1/05,01,BDG.2,059815100,BANDAG INC,0,0000009534
002017,31/1/05,01,NEBK,063840102,BANK OF NEW ENGLAND CORP,0,0000071322
002019,31/1/05,01,BK,064058100,BANK OF NEW YORK MELLON CORP,0,0001390777
002025,31/1/05,01,BRE,05564E106,BRE PROPERTIES INC,0,0001011174
002028,31/1/05,01,VSIH,918322108,VSI HOLDINGS INC,0,0000354611
002033,31/1/05,01,FCHDQ,303698104,FAIRCHILD CORP  -CL A,0,0000009779
002034,31/1/05,01,BN.2,066821109,BANTA CORP,0,0000009801
002044,31/1/05,01,BCR,067383109,BARD (C.R.) INC,0,0000009892
002049,31/1/05,01,B.2,067806109,BARNES GROUP INC,0,0000009984
002052,31/1/05,01,BRN,068221100,BARNWELL INDUSTRIES,0,0000010048
002055,31/1/05,01,B,06849F108,BARRICK MINING CORP,0,0000756894
002061,31/1/05,01,DFZ,068798107,BARRY (R G) CORP,0,0000749872
002073,31/1/05,01,ESTE.1,27099Q933,EARTHSTONE ENERGY INC -OLD,0,
002078,31/1/05,02,3BXCPE,070121207,BASIX CORP,0,0000106790
002080,31/1/05,01,BSET,070203104,BASSETT FURNITURE INDS,0,0000010329
002085,31/1/05,01,BOL,071707103,BAUSCH & LOMB HLDGS  -REDH,0,0001416436
002086,31/1/05,01,BAX,071813109,BAXTER INTERNATIONAL INC,0,0000010456
002100,31/1/05,01,BRCOQ,07384R408,BEARD CO,0,0000909992
002101,31/1/05,02,AIT,03820C105,APPLIED INDUSTRIAL TECH INC,0,0000109563
002111,31/1/05,01,BDX,075887109,BECTON DICKINSON & CO,0,0000010795
002113,31/1/05,01,NICH,65476M208,NITCHES INC,0,0000772263
002116,31/1/05,01,3BHIVE,077022200,BEEHIVE INTERNATIONAL,0,0000010866
